Sample,Pat,Site,Time,A_defectiva,Acinetobacter_sp. 408,Acremonium_sp.,Actinobaculum_sp._183,A_denticolens,A_gerencseriae,A_naeslundii,A_oris,Actinomyces_sp._ICM54,Actinomyces_sp._169,Actinomyces_sp._170,Actinomyces_sp._171,Actinomyces_sp._175,Actinomyces_sp._178,Actinomyces_sp._180,Actinomyces_sp._414,Actinomyces_sp._448,A_viscosus,Aggregatibacter_actinomycetemcomitans,A_aphrophilus,A_segnis,Aggregatibacter_sp._458,Aggregatibacter_sp._513,A_omnicolens,Alternaria_sp.,A_geminatus,A_caesiellus,A_flavus,A_niger,A_penicillioides,Aspergillus_sp.,A_spathulatus,A_spinosus,A_versicolor,Atopobium_sp._416,A_leucospermi,B_dentium,B_longum,B_diminuta,B_extructa,Burkholderia_sp._406,C_concisus,C_curvus,C_rectus,C_showae,Campylobacter_sp._G43,C_albicans,C_parapsilosis,C_quercitrusa,C_sake,C_tropicalis,C_gingivalis,C_granulosa,Capnocytophaga_sp._338,Capnocytophaga_sp._380,Capnocytophaga_sp._412,Capnocytophaga_sp._G34,C_sputigena,C_hominis,C_valvarum,C_morbi,Catonella_sp._164,C_cladosporioides,C_sphaerospermum,Clostridium_sp._MSTE9,C_testosteroni,C_durum,C_curtum,Cryptococcus_sp.,Desulfobulbus_sp._041,D_orale,Desulfovibrio_sp._040,D_invisus,D_micraerophilus,Dialister_sp._502,Dialister_sp._A97,Dietzia_sp._368,E_catenaformis,E_corrodens,E_gingivalis,E_faecalis,E_brachy,E_infirmum,E_saphenum,Eubacterium_sp._B60,Eubacterium_sp._G32,Eubacterium_sp._G75,E_sulci,E_yurii,F_alocis,F_oxysporum,Fusarium_sp.,F_naviforme,F_necrophorum,F_nucleatum,F_periodonticum,Fusobacterium_sp._203,Fusobacterium_sp._370,G_haemolysans,G_morbillorum,G_adiacens,G_elegans,H_aegyptius,H_haemolyticus,Haemophilus_sp._036,H_sputorum,Johnsonella_sp._166,J_anthropi,K_denitrificans,Kingella_sp._012,L_saburreum,Lactobacillus_casei,L_crispatus,L_fermentum,L_gasseri,L_panis,L_paracasei,L_rhamnosus,L_salivarius,Lactobacillus_sp._461,L_vaginalis,L_lactis,Leptotrichia_sp._218,Leptotrichia_sp._219,Leptotrichia_sp._221,Leptotrichia_sp._223,Leptotrichia_sp._225,Leptotrichia_sp._417,Leptotrichia_sp._463,Leptotrichia_sp._498,L_wadei,M_arunalokei,M_dermatis,M_furfur,M_globosa,M_japonica,M_restricta,Malassezia_sp.,M_sympodialis,Malasseziales_sp.,M_micronuciformis,M_timidum,M_orale,N_bacilliformis,N_elongata,N_flavescens,N_lactamica,N_meningitidis,N_mucosa,Neisseria_sp._014,Neisseria_sp._499,N_subflava,Occultifur_sp.,O_sinus,Oribacterium_sp._372,P_micra,Parvimonas_sp._110,Parvimonas_sp._393,Parvimonas_sp._D94,P_brevicompactum,P_citrinum,P_commune,P_glabrum,Peptococcus_sp._167,P_indolicus,Peptoniphilus_sp._375,P_stomatis,Pichia_sp.,Plectosphaerella_sp.,Pleosporales_sp.,Polyporales_sp.,P_catoniae,P_endodontalis,Porphyromonas_sp._279,P_buccae,P_dentalis,P_denticola,P_melaninogenica,P_micans,P_oris,P_scopos,P_shahii,Prevotella_sp._292,Prevotella_sp._298,Prevotella_sp._300,Prevotella_sp._303,Prevotella_sp._309,Prevotella_sp._313,Prevotella_sp._314,Prevotella_sp._G57,P_acidifaciens,P_propionicum,P_alactolyticus,R_mucilaginosa,Rhodotorula_sp.,R_dentocariosa,S_bayanus,S_cerevisiae,S_georgiae,S_meyeri,S_odontolytica,S_artemidis,S_flueggei,S_noxia,Selenomonas_sp._126,Selenomonas_sp._133,Selenomonas_sp._134,Selenomonas_sp._149,Selenomonas_sp._442,Selenomonas_sp._479,Selenomonas_sp._F84,Selenomonas_sp._H64,Selenomonas_sp._H65,S_sputigena,S_satelles,Sphingomonas_sp._007,S_epidermidis,S_warneri,S_anginosus,S_australis,S_constellatus,S_cristatus,S_dysgalactiae,S_gordonii,S_infantis,S_intermedius,S_mitis,S_mutans,S_oralis,S_parasanguinis,S_salivarius,S_sanguinis,S_sinensis,S_sobrinus,Streptococcus_sp._AC15,Streptococcus_sp._AS14,Streptococcus_sp._BS21,Streptococcus_sp._CM7,Streptococcus_sp._055,Streptococcus_sp._056,Streptococcus_sp._057,Streptococcus_sp._058,Streptococcus_sp._061,Streptococcus_sp._064,Streptococcus_sp._066,Streptococcus_sp._070,Streptococcus_sp._071,Streptococcus_sp._074,Streptococcus_sp._431,S_vestibularis,T_forsythia,TM7_phylum_sp._346,TM7_phylum_sp._349,TM7_phylum_sp._350,TM7_phylum_sp._351,TM7_phylum_sp._352,T_denticola,T_lecithinolyticum,T_maltophilum,T_medium,Treponema_sp._227,Treponema_sp._228,Treponema_sp._232,Treponema_sp._234,Treponema_sp._237,Treponema_sp._238,Treponema_sp._239,Treponema_sp._257,Treponema_sp._265,Treponema_sp._271,Treponema_sp._517,Treponema_sp._518,Treponema_sp._G52,Treponema_sp._G76,T_vincentii,V_atypica,V_dispar,V_parvula,Veillonella_sp._158,Xanthomonas_sp._037,Treponema_maltophilum,Treponema_medium,Treponema_sp._oral_taxon_227,Treponema_sp._oral_taxon_228,Treponema_sp._oral_taxon_232,Treponema_sp._oral_taxon_234,Treponema_sp._oral_taxon_237,Treponema_sp._oral_taxon_238,Treponema_sp._oral_taxon_239,Treponema_sp._oral_taxon_257,Treponema_sp._oral_taxon_265,Treponema_sp._oral_taxon_271,Treponema_sp._oral_taxon_517,Treponema_sp._oral_taxon_518,Treponema_sp._oral_taxon_G52,Treponema_sp._oral_taxon_G76,Treponema_vincentii,Veillonella_atypica,Veillonella_dispar,Veillonella_parvula,Veillonella_sp._oral_taxon_158,Veillonellaceae_bacterium_oral_taxon_129,Veillonellaceae_bacterium_oral_taxon_131,Veillonellaceae_bacterium_oral_taxon_150,Veillonellaceae_bacterium_oral_taxon_155,Veillonellaceae_bacterium_oral_taxon_483,Xanthomonas_sp._oral_taxon_037
1_stable_0,10737,stable,0,0,0,0,0,0,0,7.58E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52E-05,0,0,0,0,0,0,0,0,0,0,7.58E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000227362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032929639,0,0,1.52E-05,0,0,0,0,0,6.82E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001925001,0,9.85E-05,0.000818504,0.946759329,0.000447146,0.000265256,0,0,0,0.0015688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000174311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008942917,0.001477855,0,0,0,0,0.000204626,0,3.03E-05,8.34E-05,0,0,0,0,0,0,0,0,0,0,0.003054233,0,4.55E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000439567,0,0,0,0,0,0.000166732
1_stable_2,10737,stable,2,0,0,0,0,0,0,0.000175736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59E-05,0,0,0,0,0.000175736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011982,0,0,0,0,3.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029851104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60E-05,0,0,0,0,0,0,0,0,0,0.001613573,0,3.99E-05,0.000599099,0.94942806,0.000479279,0.000271592,0,0,0,0.001757357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60E-05,0,0,0,0,0,3.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000135796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009729367,0.000447327,0,0,0,0,0.000463303,0,6.39E-05,5.59E-05,0,0,0,0,0,0,0,0,0,0,0.00321117,0,7.99E-05,0,0,0,0,0,7.19E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.99E-06,0.000175736,0,0,0,0,1.60E-05,0.000718919
1_stable_4,10737,stable,4,5.80E-05,0,0,0,0,0,0.001662751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000290015,0,0,0,0,7.73E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02896281,1.93E-05,0,0,0,0,0,0,0,2.90E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002039771,0.000290015,2.90E-05,0.000512359,0.933963632,0.000502692,0.001556413,0,0,0,0.001392071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000222345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000174009,0,0.00085071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011184904,0.000551028,0,0,0,3.87E-05,0.000106339,0,0.000154675,0.000125673,0,0,0,0,0,0,0,0,0,0,0.002774475,0,0.000183676,0,0,0.002378121,0,0,0,0,0,9.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007192367,0,0,0,0,0,0.002561797
1_stable_6,10737,stable,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000263283,7.37E-05,0,0,0,0.00015797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21E-05,0,0.028255489,0,0,2.11E-05,0,0,2.11E-05,0,0,7.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,2.11E-05,0,0,0,0.001390132,0,5.27E-05,0.000621347,0.951745564,0.000231689,0.000263283,0,0,0,0.001337476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000136907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00993102,0.000179032,0,0,0,0,0.000737191,0,0,4.21E-05,0,0,0,0,0,0,0,0,0,0,0.003117266,0,0.000136907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000652941,0,0,0,0,0,0.000379127
1_stable_8,10737,stable,8,0,0,0,0,0,0,0.000173795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34E-05,0,0,0,0,0.000173795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000443178,4.34E-05,0,0,0,0.000156416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61E-05,0,0.033716262,0,0,0,0,1.74E-05,0,0,0,0,0,0,0,0,0,1.74E-05,0,0,0,0,0,0,0,0,0,0,0.002111611,0,0.000104277,0.000825527,0.940657641,0.00034759,0.000434488,0,0,0,0.002059473,0,0.000851596,0,0,0,0,0,0,1.74E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.56E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104277,0,0.010462469,0.000512696,0,0,0,6.95E-05,0.000799458,0,2.61E-05,0.000252003,0,0,0,0,0,0,0,0,0,0,0.003058795,0,0.000504006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00145119,0,0,0,0,0,0.00037366
1_stable_10,10737,stable,10,0.001060035,9.98E-05,0,0,0,0,0.026588182,4.99E-05,0,0,0.00173347,0.006260444,0,0,0,0,0.000536253,0,0.002132542,0,0,0,0,0,0,0.001820767,0,0,0,0,0,0,0,0,0,0,0.001010151,0,0,0,0.00012471,0.000910383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001060035,0,0,0,0,0,0,0.000598608,8.73E-05,0,0,0,0.000486369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49E-05,0.000473898,0.002145013,0.037163595,0,0,0,4.99E-05,7.48E-05,0,0,0,0.00012471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00273115,0,0,0.000636021,0.756665752,0.009527848,0.023308308,0,0,0,0.001696057,0,0,0,0,0,0,0,0,0.000137181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001259571,0,0,0,0,0,0,0,0.000112239,0,0,0,0,0,0,0,0,0,0,0,7.48E-05,0,0,0,0,0,0,0,2.49E-05,0.000349188,0,0.002194897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.98E-05,6.24E-05,0.020452448,0.001172274,0,0,0,0.00099768,0.000473898,0,0.000187065,0.003304816,4.99E-05,6.24E-05,0,0,0,0,0,0,0,0,0.011560622,0,0.005861372,0,0,0.000349188,0,0.000424014,0.004477091,0,0,0.000810615,0,0,0,4.99E-05,0,0.003379642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24E-05,0,3.74E-05,0.05249046,0,0,0,0,0,0.01030105
1_stable_12,10737,stable,12,0.000106485,0,0,0,0.000479182,0,0.096635076,0,0,0,0,0.001054201,0,0,0,0,0.000191673,0,0.00056437,0,0,0,0,0,0,0.001799595,0,0,0,0,0,0,0,0,0,0,0.001086146,0,0,0,0,0.001331062,0,0,8.52E-05,0,0,0,0,0,0,0,0,0,5.32E-05,0,0,0,0,0,0,0,2.13E-05,3.19E-05,0,0,0,0,0,0,0,0.000223618,0.000117133,0,0,0,0,0,0.000851879,6.39E-05,0,0,0,0.001597274,0,8.52E-05,0,3.19E-05,0,0,0,0,0,0,0,0,0,0,3.19E-05,0.001032904,0.006697902,0.071951869,0,0,0,0,0,0,0,0,0,0.000106485,0,0,3.19E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001788947,0.000149079,0.000117133,0.000596316,0.665530827,0.017793632,0.025535087,0,0,0,0.00141625,0.001086146,0,0,0,0,0,0,0,9.58E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001820892,0,0,0,0,0,0,0,0,0.000159727,0,0.002129699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32E-05,5.32E-05,4.26E-05,0.018453839,0.001181983,0,0,0,0.000702801,0.006602066,0,0.001224577,0.002044511,0.000117133,0,2.13E-05,0,0,0,0,0,4.26E-05,5.32E-05,0.014790757,0.000436588,0.005973805,0,0,0.002491747,0,0.000149079,0.001650516,2.13E-05,0,0.000404643,0,0,0,0.000276861,0,0.001682462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26E-05,0,1.06E-05,0.018933021,0,0,0,0,0,0.014524545
1_progressing_0,10737,progressing,0,0.000126366,4.21E-05,0,0,0,0,0.368926518,0.001811251,0,0,0.000210611,0.007876835,0,0,0,0,0.017691287,0,0.002653693,0.000231672,0,0.001221541,0,0,0,0.021187422,0,0,0,0,0,0,0,0,0,0,0.005644363,0,0,0,0,0.00937217,0,0,0.000315916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000336977,0,0,0,0,0,0,0,0.011646764,0,0,0,0,0,0,0.006697416,0.000568649,0,0,0,0.002274594,0,0,0,0,0,0,0,0,0,0,0.000252733,0.000905625,0,0,0,2.11E-05,0.000610771,0.037446558,8.42E-05,0,0,0.000105305,0.002232472,0,0,0,0.000294855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00058971,0,0.002443082,0.000821381,0.005138898,0.0594343,0.075672374,0,0,0,0.006465744,0,0.003432952,0,0,0,0,0,0,0.000652893,0,0,0,0,0,0,0,0,0.000147427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003222342,0,0,0,0,0.001137297,0,0,0.000315916,0,0,0,0,0,0,0,0,0,0,0,0.00098987,0,0,0,0,0,0,0,0,0.001326847,0,0,0.000105305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004317516,0.001621701,0,0.006571049,0.000379099,0.001495335,0,0.000252733,0.004844043,0.010467345,8.42E-05,0.000442282,0.026031465,0.000421221,0,0,0,0,0,0,0,0.000231672,0.000336977,0.068827531,0,0.017333249,0,0,0.00299067,0,0,0.062151176,8.42E-05,0,0.00598134,0,0,0,0.002337777,0,0.013626503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073334597,0,0,0,0,0,0.033150102
1_progressing_2,10737,progressing,2,0.000334392,5.57E-05,0,0,0,0,0.415872485,0.000362258,0,0,0.001198239,0.000696651,0,0,0,0,0.000835981,0,0.007886084,0.000167196,0,0,0,0,0,0.020342195,0,0,0,0,0,0,0,0,0,0,0.004207769,0,0,0,0,0.008944992,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016022962,0.000167196,0,0,0,0,0,0.003901243,0,0,0,0,0.000752383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00055732,0.00027866,0.001198239,0.015409909,0.000167196,0,0,0,0,0,0,0,0.000863847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000334392,0.00041799,0.000362258,0.000473722,0.00314886,0.054868194,0.074402274,0,0,0,0.003065262,0,0,0,0,0,0,0,0,0.000111464,0,0,0,0,0,5.57E-05,0,0,0,0,0,0,0,0,0.00013933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000835981,5.57E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000529454,0,0,0,0,0,0,0,0,0.002535808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003093128,0,0,0.012539709,0.002006353,0,0,0,0.002480076,0.048793401,0.000195062,0.003483253,0.070501031,0.001950621,0.000390124,0.000334392,0,0,0,0,0,0.000445856,0.001003177,0.107423508,0.001644095,0.0387895,0,0,0.001114641,0.00041799,0.00055732,0.022710806,0,0,0.001086775,5.57E-05,0,0,0.004096305,0,0.01120214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010171097,0,0,0,0,0,0.011815193
1_progressing_4,10737,progressing,4,0.00018655,0,0,0,0,0,0.176009701,0.00018655,0,0,0.000590741,0.003140254,0,0,0,0,0.003202438,0,0.001927681,0.000310916,0,0.004228461,0,0,0,0.003917545,0,0,0,0,0,0,0,0,0,0,0.002083139,0,0,0,0,0.002269689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000279825,0,0,0,0,0,0,0,0.010788795,0.000559649,0,0,0,0,0,0.004788111,0.00133694,0,0,0,0.000746199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000217641,0.000435283,0.023287629,0,0,0,0,0,0,0,0,0,0,0,0,0.000124367,0,0,0,0,0,0,0,0,0,0,0,0,0.001616765,0,0,0.000652924,0.003917545,0.027920281,0.020489382,0,0,0,0.001430215,0,0,0,0,0,0,0,0,0.0003731,0,0,0,0,0,0.00018655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002518422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005565401,0,0,0,0,0,0,0,0,0.001430215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004383919,0,0.03037652,0.002767155,0,0,0,0.000684016,0.010913161,0.000124367,0.000621833,0.183627149,0.000528558,0,0,0,0,0,0,0,0,0,0.385722725,0,0.009482946,0,0,0.001399123,0,0,0.006529242,0,0,0.001958773,0,0,0,0.010602245,0,0.013835774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021826322,0,0,0,0,0,0.007897273
