feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Fusobacterium_nucleatum	Group	other	-0.268502270374499	0.07620703151855	154	154	0.00056315232350343	0.0360417487042195
Abiotrophia_defectiva	Group	other	0.00989754805906046	0.0170193871365179	154	110	0.561734291372713	0.806018648239374
Actinomyces_naeslundii	Group	other	-0.129443892467113	0.0863314641083236	154	134	0.135848526802803	0.806018648239374
Aggregatibacter_actinomycetemcomitans	Group	other	0.00833431623221482	0.0138427589953248	154	93	0.548024280362659	0.806018648239374
Aggregatibacter_aphrophilus	Group	other	0.000968360116778525	0.00206124362713078	154	30	0.639175403690053	0.806018648239374
Anaeroglobus_geminatus	Group	other	0.0320969022778525	0.0348237399842166	154	127	0.358147781997205	0.806018648239374
Bifidobacterium_longum	Group	other	0.00318534986577183	0.00555934649376053	154	57	0.567510296001724	0.806018648239374
Brevundimonas_diminuta	Group	other	0.0218942846778524	0.0182241656982218	154	136	0.231469527462084	0.806018648239374
Bulleidia_extructa	Group	other	0.000943706731543622	0.00132905248611393	154	40	0.478754988373236	0.806018648239374
Campylobacter_concisus	Group	other	0.00165388917046981	0.00167562357862138	154	76	0.325196959418836	0.806018648239374
Capnocytophaga_gingivalis	Group	other	0.000412434798657721	0.000445469578109385	154	61	0.355995313489237	0.806018648239374
Capnocytophaga_granulosa	Group	other	6.72666000000005e-05	0.000139884452570789	154	31	0.631298496551671	0.806018648239374
Cardiobacterium_valvarum	Group	other	0.000184542389261745	0.000226838659508172	154	41	0.417180911888162	0.806018648239374
Catonella_morbi	Group	other	0.00317001765503357	0.00623397007446811	154	59	0.611835057397783	0.806018648239374
Comamonas_testosteroni	Group	other	0.0454961892697988	0.0435364330159559	154	135	0.297675472500115	0.806018648239374
Corynebacterium_durum	Group	other	0.00654020062013426	0.00744302889255546	154	71	0.380950085287142	0.806018648239374
Cryptobacterium_curtum	Group	other	0.000106899966442953	0.000190889058790234	154	18	0.576296341321256	0.806018648239374
Dialister_invisus	Group	other	0.0618150102617452	0.0355884771686288	154	153	0.0844237716186286	0.806018648239374
Dialister_micraerophilus	Group	other	0.00640786694765103	0.00785200946255278	154	105	0.415731508388973	0.806018648239374
Eggerthia_catenaformis	Group	other	0.0102268089449665	0.0133750230082551	154	137	0.445683343627984	0.806018648239374
Enterococcus_faecalis	Group	other	0.000147889939597316	0.000260635826077117	154	22	0.571266063428797	0.806018648239374
Filifactor_alocis	Group	other	0.00134146142953021	0.00296786719346621	154	34	0.651916852238619	0.806018648239374
Fusobacterium_naviforme	Group	other	0.00206328788590606	0.0046374570595477	154	97	0.657011967838627	0.806018648239374
Fusobacterium_periodonticum	Group	other	0.0171325360093961	0.0162207485592071	154	94	0.292547580053598	0.806018648239374
Gemella_haemolysans	Group	other	0.000667642693959734	0.000804692342313226	154	60	0.408016959062208	0.806018648239374
Gemella_morbillorum	Group	other	0.00521702504832218	0.00842055046544497	154	77	0.536475975181802	0.806018648239374
Granulicatella_adiacens	Group	other	0.000281763586577183	0.000458545072152025	154	45	0.539821468754477	0.806018648239374
Haemophilus_haemolyticus	Group	other	0.0143345671221477	0.014762080987944	154	124	0.333071170330885	0.806018648239374
Jonquetella_anthropi	Group	other	0.00336134404429531	0.00570593405951473	154	57	0.556671244941994	0.806018648239374
Lactobacillus_crispatus	Group	other	0.0102587775355705	0.0146022534742141	154	44	0.483412275626772	0.806018648239374
Leptotrichia_wadei	Group	other	0.00176622590067115	0.00196736917366593	154	86	0.370733180578074	0.806018648239374
