Element,Observed Shift,Expected Shift,Biological Group
M20_hu.EGF..12.,-1,,
M34_hu.IL.12p70..33.,-1,,
M43_hu.IL.2..48.,-1,,
M46_hu.IL.8..63.,-1,,
M30_hu.IL.10..27.,-1,1,Anti-inflammatory Cytokines
M58_hu.RANKL..42.,-1,-1,Bone Resorption Mediators
M25_hu.GM.CSF..20.,-1,1,Hematopoietic Growth Factors
PD_Monocyte,1,1,Immune Cell Activation
M39_hu.IL.17A..39.,-1,-1,Pro-inflammatory Cytokines
M44_hu.IL.6..57.,-1,-1,Pro-inflammatory Cytokines
M52_hu.TNF.a..75.,-1,-1,Pro-inflammatory Cytokines
M61_hu.Periostin..47.,1,1,Tissue Remodeling Factors
