feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PD_Monocyte	Group	other	-0.0418193996441442	0.00896319863878056	154	58	6.69598098204849e-06	0.00013391961964097
PD_Th17	Group	other	-0.0737274511846847	0.0224539465012374	154	66	0.00127239657906537	0.0127239657906537
PD_Neutrophil	Group	other	-0.184898220222973	0.0606954688039289	154	153	0.00273188822789592	0.0182125881859728
PD_mDC	Group	other	-0.0157815735225225	0.00567132561389293	154	38	0.00607503267482436	0.0303751633741218
PD_pDC	Group	other	-0.0307756308941441	0.0126370239884817	154	74	0.0160342155440665	0.0641368621762659
PD_Fib_1.2	Group	other	0.0719559113783784	0.0326258284102007	154	150	0.0289213039531854	0.096404346510618
PD_LEC	Group	other	0.0220847341734234	0.0103708519726282	154	127	0.0348235842430893	0.0994959549802551
PD_abT_.CD8.	Group	other	-0.00941363219144144	0.00498245894499389	154	27	0.0607487147818483	0.151871786954621
PD_VEC_1.2	Group	other	0.115864372144144	0.0662684333858522	154	153	0.0824120269925432	0.183137837761207
PD_B	Group	other	-0.0202484671328829	0.0140124938477971	154	46	0.150508016594797	0.301016033189594
PD_VEC_1.4	Group	other	0.0239065933175676	0.0202790493573527	154	37	0.240287503195149	0.436886369445726
PD_Epi_2	Group	other	0.0177327644189189	0.0192116811598519	154	52	0.357459684496411	0.558159358277958
PD_Epi_3	Group	other	0.0373666304234235	0.0409371562761899	154	135	0.362803582880673	0.558159358277958
Epi_1.3	Group	other	0.0213617156554054	0.0273523268770131	154	31	0.436026851376376	0.622895501966252
PD_Plasma	Group	other	0.00890416902477477	0.0172153803420166	154	22	0.605753214909579	0.72291426441848
Epi_3	Group	other	0.0108475415427928	0.0199893628514211	154	23	0.58815479386427	0.72291426441848
PD_Mel	Group	other	0.00915873941216217	0.018145700686491	154	103	0.614477124755708	0.72291426441848
Epi_2	Group	other	0.0198063725157658	0.0553025434956917	154	129	0.720731107907606	0.800812342119562
Neutrophil	Group	other	-0.00212101910135135	0.00811929253580125	154	31	0.79426721385933	0.821090976726135
PD_NK	Group	other	-0.000777672360360361	0.00343292648278088	154	19	0.821090976726135	0.821090976726135
