"SampleID","Cluster"
"Sample1",1
"Sample2",1
"Sample4",1
"Sample5",1
"Sample7",1
"Sample8",1
"Sample118",1
"Sample3",1
"Sample6",1
"Sample9",1
"Sample10",1
"Sample11",1
"Sample12",1
"Sample13",1
"Sample14",1
"Sample15",1
"Sample16",1
"Sample17",1
"Sample18",1
"Sample19",1
"Sample20",1
"Sample21",1
"Sample22",1
"Sample23",1
"Sample24",1
"Sample25",1
"Sample26",1
"Sample27",1
"Sample28",1
"Sample29",1
"Sample30",1
"Sample31",1
"Sample32",1
"Sample33",1
"Sample34",1
"Sample35",1
"Sample36",1
"Sample37",1
"Sample38",1
"Sample39",1
"Sample40",1
"Sample41",1
"Sample42",1
"Sample43",1
"Sample44",1
"Sample45",1
"Sample46",1
"Sample47",1
"Sample48",1
"Sample49",1
"Sample50",1
"Sample51",1
"Sample52",1
"Sample53",1
"Sample54",1
"Sample55",1
"Sample56",1
"Sample57",1
"Sample58",1
"Sample59",1
"Sample60",1
"Sample61",1
"Sample62",1
"Sample63",1
"Sample64",1
"Sample65",1
"Sample66",1
"Sample67",1
"Sample68",1
"Sample69",1
"Sample70",1
"Sample71",1
"Sample72",1
"Sample73",1
"Sample74",1
"Sample75",1
"Sample76",1
"Sample77",1
"Sample78",1
"Sample79",1
"Sample80",1
"Sample81",1
"Sample82",1
"Sample83",1
"Sample84",1
"Sample85",1
"Sample86",1
"Sample87",1
"Sample88",1
"Sample89",1
"Sample90",1
"Sample91",1
"Sample92",1
"Sample93",1
"Sample94",1
"Sample95",1
"Sample96",1
"Sample97",1
"Sample98",1
"Sample99",1
"Sample100",1
"Sample101",1
"Sample102",1
"Sample103",1
"Sample104",1
"Sample105",1
"Sample106",1
"Sample107",1
"Sample108",1
"Sample109",1
"Sample110",1
"Sample111",1
"Sample112",1
"Sample113",1
"Sample114",1
"Sample115",1
"Sample116",1
"Sample117",1
"Sample119",1
"Sample120",1
"Sample121",1
"Sample122",1
"Sample123",1
"Sample124",1
"Sample125",1
"Sample126",1
"Sample127",1
"Sample128",1
"Sample129",1
"Sample130",1
"Sample131",1
"Sample132",1
"Sample133",1
"Sample134",1
"Sample135",1
"Sample136",1
"Sample137",1
"Sample138",1
"Sample139",1
"Sample140",1
"Sample141",1
"Sample142",1
"Sample143",1
"Sample144",1
"Sample145",1
"Sample146",1
"Sample147",1
"Sample148",1
"Sample149",1
"Sample150",1
"Sample151",1
"Sample152",1
"Sample153",1
"Sample154",2
