"SampleID","Cluster"
"Sample1",1
"Sample2",1
"Sample3",1
"Sample4",1
"Sample5",1
"Sample6",1
"Sample7",1
"Sample8",1
"Sample9",1
"Sample10",1
"Sample11",1
"Sample12",1
"Sample13",1
"Sample14",1
"Sample15",2
"Sample16",2
"Sample17",2
"Sample18",2
"Sample19",1
"Sample20",2
"Sample21",2
"Sample22",2
"Sample23",1
"Sample24",2
"Sample25",2
"Sample26",1
"Sample27",2
"Sample28",2
"Sample29",2
"Sample30",2
"Sample31",2
"Sample32",2
"Sample33",2
"Sample34",2
"Sample35",2
"Sample36",2
"Sample37",2
"Sample38",2
"Sample39",2
"Sample40",2
"Sample41",2
"Sample42",2
"Sample43",1
"Sample44",2
"Sample45",2
"Sample46",1
"Sample47",1
"Sample48",2
"Sample49",2
"Sample50",1
"Sample51",2
"Sample52",2
"Sample53",1
"Sample54",1
"Sample55",2
"Sample56",2
"Sample57",2
"Sample58",2
"Sample59",2
"Sample60",2
"Sample61",1
"Sample62",2
"Sample63",2
"Sample64",1
"Sample65",2
"Sample66",2
"Sample67",1
"Sample68",1
"Sample69",2
"Sample70",2
"Sample71",2
"Sample72",2
"Sample73",1
"Sample74",2
"Sample75",2
"Sample76",1
"Sample77",2
"Sample78",2
"Sample79",2
"Sample80",2
"Sample81",2
"Sample82",1
"Sample83",2
"Sample84",1
"Sample85",1
"Sample86",1
"Sample87",1
"Sample88",1
"Sample89",1
"Sample90",1
"Sample91",1
"Sample92",1
"Sample93",1
"Sample94",1
"Sample95",1
"Sample96",2
"Sample97",1
"Sample98",2
"Sample99",1
"Sample100",2
"Sample101",2
"Sample102",1
"Sample103",2
"Sample104",2
"Sample105",2
"Sample106",1
"Sample107",1
"Sample108",1
"Sample109",1
"Sample110",1
"Sample111",2
"Sample112",2
"Sample113",1
"Sample114",2
"Sample115",1
"Sample116",1
"Sample117",1
"Sample118",2
"Sample119",2
"Sample120",1
"Sample121",2
"Sample122",1
"Sample123",1
"Sample124",1
"Sample125",1
"Sample126",1
"Sample127",1
"Sample128",1
"Sample129",1
"Sample130",1
"Sample131",1
"Sample132",1
"Sample133",1
"Sample134",1
"Sample135",1
"Sample136",1
"Sample137",1
"Sample138",1
"Sample139",1
"Sample140",1
"Sample141",2
"Sample142",2
"Sample143",2
"Sample144",2
"Sample145",2
"Sample146",2
"Sample147",2
"Sample148",2
"Sample149",2
"Sample150",2
"Sample151",2
"Sample152",2
"Sample153",2
"Sample154",2
