"Feature","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MIP1b",-1.8314690621,3.00481579620779,-7.22487867502744,2.10975750771669e-11,1.35024480493868e-09,15.4545523609464
"MCP1",-2.21002464954286,3.32794087948052,-6.81837102479783,1.92058786062667e-10,6.14588115400534e-09,13.2989075437331
"IL10",-1.58120663070714,2.25185382722727,-6.50347568511032,1.01672316960582e-09,2.12062487788797e-08,11.6751944755588
"GRO",-1.31288307509286,7.12200547226623,-6.452648083761,1.32539054867998e-09,2.12062487788797e-08,11.4171452992113
"IP10",-2.04100596792857,3.87310240312987,-5.99279943132711,1.38457987607992e-08,1.77226224138229e-07,9.13712558181701
"IL12p40",-1.51929611256429,2.38969870086364,-5.81342899220519,3.36570955427905e-08,3.10088972015359e-07,8.27593612817789
"TNFa",-1.1574234028,1.59116217331169,-5.81186758930163,3.39159813141799e-08,3.10088972015359e-07,8.26851241846638
"Eotaxin",-1.16967226857143,2.26182830111688,-5.68603875016756,6.26360112821886e-08,5.01088090257509e-07,7.67448696502879
"TRAIL",-1.03125842527143,3.44460064898052,-5.46645872027033,1.79160293564488e-07,1.27402875423636e-06,6.65839429383391
"IL8",-1.31899026039286,6.67341556975974,-5.34011703476981,3.24186680264745e-07,2.07479475369437e-06,6.08598394413961
"EGF",-1.43375289401429,2.8942245224026,-5.21080034584626,5.89473429722108e-07,3.42966359111045e-06,5.50965202351113
"FIt3L",-0.922721726135714,1.30849383277922,-5.02266860872223,1.38323718505248e-06,7.17019169822181e-06,4.68897975215185
"MCP3",-1.19017759005714,2.15312512132468,-5.01114709603219,1.45644518870131e-06,7.17019169822181e-06,4.63942015841268
"IL6",-1.41009531477857,1.68210571961688,-4.78912824180607,3.87457911528162e-06,1.77123616698589e-05,3.70061169218681
"IL12p70",-0.793683918335714,0.987382011850649,-4.65576740062597,6.87453038859683e-06,2.93313296580131e-05,3.15184341854363
"IL17A",-0.788319937592857,0.879435029363636,-4.4109999357826,1.91299645969402e-05,7.65198583877606e-05,2.17531150157777
"IFNy",-0.634630718285714,0.707380387837662,-4.39266945470458,2.06220217991876e-05,7.76358467734123e-05,2.10381450341008
"MIP1a",-1.11617575772857,2.92305961922727,-4.31628646310925,2.81335769526882e-05,0.00010003049583178,1.80838668419543
"IL2",-0.594094554492857,0.642309334272727,-4.25649218736501,3.5781957979836e-05,0.000120528700563658,1.57995687017493
"IL15",-0.697550045171428,1.0279935457013,-4.23169657641555,3.95068412528457e-05,0.000126421892009106,1.48596849799159
"MDC",-1.00094198367857,2.81121961488961,-4.1824707705344,4.80318008471789e-05,0.000146382631153307,1.30066711212997
"GMCSF",-0.727974453407143,1.04393964014286,-3.74006438720833,0.000258221373972018,0.000751189451554961,-0.285561763395777
"VEGF",-1.00448855205,4.24377852466883,-3.70638639051255,0.000291857753543376,0.00079220012480516,-0.400323317482526
"RANKL",-1.60667186662044,1.62322335009934,-3.70317536073917,0.000297075046801935,0.00079220012480516,-0.414872193728537
"IL13",-0.530202453892857,1.74068097545455,-3.42570346270505,0.000784518407685015,0.00200836712367364,-1.32260741644048
"IFNa2",-0.702973661385714,2.28467853182468,-3.29747160621949,0.0012091116587952,0.00297627485241895,-1.72324000992827
"GDF15",1.23159808852174,3.24276168952632,3.2736397249991,0.0013119866388969,0.00310989425516302,-1.79743152942543
"ENA78",-1.25453288184286,3.46419323275325,-3.21488455952918,0.00158725277920201,0.00362800635246173,-1.97423740943109
"SCF",0.444943142771429,0.780588480272727,3.07907532184326,0.00245549733079677,0.00541902859210321,-2.37484096661239
"GranzymeB",-0.807178714707142,4.69316128726623,-3.03078557595453,0.00285794160319661,0.00609694208681943,-2.51360387277179
"Periostin",0.791005978740165,7.06877712351974,3.00242443709833,0.00312781467350217,0.006457423842069,-2.59481771013071
"IL7",-0.393265930242857,0.954304841824675,-2.955577200864,0.00360718797429127,0.00721437594858253,-2.72583484549329
"MMP2",1.4680174902,5.26168536062987,2.84866248841335,0.00498494549093682,0.00966777307333202,-3.01932403036734
