Sample	Target
1_stable_0	Y
1_stable_2	Y
1_stable_4	Y
1_stable_6	Y
1_stable_8	Y
1_stable_10	Y
1_stable_12	Y
1_progressing_0	Y
1_progressing_2	Y
1_progressing_4	Y
1_progressing_6	Y
1_progressing_8	Y
1_progressing_10	Y
1_progressing_12	Y
2_stable_0	N
2_stable_2	N
2_stable_4	N
2_stable_6	N
2_stable_8	N
2_stable_10	N
2_stable_12	N
2_progressing_0	N
2_progressing_2	N
2_progressing_4	N
2_progressing_6	N
2_progressing_8	N
2_progressing_10	N
2_progressing_12	N
3_stable_0	N
3_stable_2	N
3_stable_4	N
3_stable_6	N
3_stable_8	N
3_stable_10	N
3_stable_12	N
3_progressing_0	N
3_progressing_2	N
3_progressing_4	N
3_progressing_6	N
3_progressing_8	N
3_progressing_10	N
3_progressing_12	N
4_stable_0	N
4_stable_2	N
4_stable_4	N
4_stable_6	N
4_stable_8	N
4_stable_10	N
4_stable_12	N
4_progressing_0	N
4_progressing_2	N
4_progressing_4	N
4_progressing_6	N
4_progressing_8	N
4_progressing_10	N
4_progressing_12	N
6_stable_0	N
6_stable_2	N
6_stable_4	N
6_stable_6	N
6_stable_8	N
6_stable_10	N
6_stable_12	N
6_progressing_0	N
6_progressing_2	N
6_progressing_4	N
6_progressing_6	N
6_progressing_8	N
6_progressing_10	N
6_progressing_12	N
7_stable_0	N
7_stable_2	N
7_stable_4	N
7_stable_6	N
7_stable_8	N
7_stable_10	N
7_stable_12	N
7_progressing_0	N
7_progressing_2	N
7_progressing_4	N
7_progressing_6	N
7_progressing_8	N
7_progressing_10	N
7_progressing_12	N
11_stable_0	N
11_stable_2	N
11_stable_4	N
11_stable_6	N
11_stable_8	N
11_stable_10	N
11_stable_12	N
11_progressing_0	N
11_progressing_2	N
11_progressing_4	N
11_progressing_6	N
11_progressing_8	N
11_progressing_10	N
11_progressing_12	N
8_stable_0	N
8_stable_2	N
8_stable_4	N
8_stable_6	N
8_stable_8	N
8_stable_10	N
8_stable_12	N
8_progressing_0	N
8_progressing_2	N
8_progressing_4	N
8_progressing_6	N
8_progressing_8	N
8_progressing_10	N
8_progressing_12	N
9_stable_0	N
9_stable_2	N
9_stable_4	N
9_stable_6	N
9_stable_8	N
9_stable_10	N
9_stable_12	N
9_progressing_0	N
9_progressing_2	N
9_progressing_4	N
9_progressing_6	N
9_progressing_8	N
9_progressing_10	N
9_progressing_12	N
10_stable_0	N
10_stable_2	N
10_stable_4	N
10_stable_6	N
10_stable_8	N
10_stable_10	N
10_stable_12	N
10_progressing_0	N
10_progressing_2	N
10_progressing_4	N
10_progressing_6	N
10_progressing_8	N
10_progressing_10	N
10_progressing_12	N
5_stable_0	N
5_stable_2	N
5_stable_4	N
5_stable_6	N
5_stable_8	N
5_stable_10	N
5_stable_12	N
5_progressing_0	N
5_progressing_2	N
5_progressing_4	N
5_progressing_6	N
5_progressing_8	N
5_progressing_10	N
5_progressing_12	N
